"Source","Target","Type","Weight","RelationType","Confidence","SourceKind","Notes"
"DraperCygnus","Dynami","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Egg","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","Falcomm","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","GBM","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Lemon","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Menta","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","mentatech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Microterra","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","novo-space","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Oasys","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","Oneinfinite","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","satellites-on-fire","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Satellogic","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","SiloReal","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Skyloom","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Splight","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","st-mm","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","TravelX","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Vmind","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"draper-university","argenTAG","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"duhau","aplife-biotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"duhau","Feedvax","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"flia-duhau","st-mm","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"fundacion-para-el-progreso-de-la-medicina","onco-precision","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"future-ventures","Beeflow","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"genesis-consortium","onco-precision","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","Agrojusto","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","Conciencia","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","deepagro","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","eiru","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","Kilimo","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","Ruuts","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","algaebio","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","AlgaLife","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Alkemio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Alytix","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Antarka","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Apasomics","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","APEXzymes","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","aplife-biotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Aquit","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","arakion","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
