support_id,source_entity_id,target_entity_id,support_type,started_at,ended_at,notes,source_url,confidence_score,added_by,added_at
cab_argentina_inmunova-ar_member_9ad2dfe0,cab_argentina,inmunova-ar,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_inmet_member_ac4a15b7,cab_argentina,inmet,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_limay_biosciences_member_62b6d943,cab_argentina,limay_biosciences,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_michroma_member_fc1443c6,cab_argentina,michroma,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_microgenesis_member_bba34f8b,cab_argentina,microgenesis,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_mycorium_biotech_member_018c1cf4,cab_argentina,mycorium_biotech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_nairotech_member_2a07cf46,cab_argentina,nairotech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_nanoingreen_member_4ef7b600,cab_argentina,nanoingreen,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_new_organs_biotech_member_02a422b4,cab_argentina,new_organs_biotech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_onco_precision_member_58fabab8,cab_argentina,onco_precision,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_oncoliq_member_7fd05d36,cab_argentina,oncoliq,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_phylumtech_member_8b95154f,cab_argentina,phylumtech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_puna_bio_member_2c8d998e,cab_argentina,puna_bio,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_radbio_member_89254f52,cab_argentina,radbio,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_SF500_member_abbccd8b,cab_argentina,SF500,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_selectivity_member_4b160f1e,cab_argentina,selectivity,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
