"entity_id","canonical_name","source_file","source_kind","extraction_method","notes"
"ifir","IFIR (Instituto de Física Rosario)","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted from graph strings"
"imvalv","Imvalv","canonical_entities.csv","canonical","canonical_base","graphml"
"imvalv","Imvalv","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"inbioar","Inbioar","canonical_entities.csv","canonical","canonical_base","graphml"
"inbioar","Inbioar","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"indiebio","IndieBio","canonical_entities.csv","canonical","canonical_base","graphml"
"indiebio","IndieBio","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi|Ecosistema Startups Materiales.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"indiebio","IndieBio","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"indiebio","IndieBio","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi|Ecosistema Startups Materiales.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"indiebio","IndieBio","ecosystem_institution_candidates.csv","institution_candidates","canonical_and_rich_graph","Investor/accelerator from existing graph plus extracted strings"
"infira","Infira","canonical_entities.csv","canonical","canonical_base","graphml"
"infira","Infira","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"ini","INI","canonical_entities.csv","canonical","canonical_base","graphml"
"ini","INI","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"INMET","INMET","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"INMET","INMET","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"inner-cosmos","Inner Cosmos","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"inner-cosmos","Inner Cosmos","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Innovai","Innovai","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Innovai","Innovai","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"institut_pasteur_montevideo","Institut Pasteur Montevideo","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted from graph strings"
"instituto_leloir","Fundación Instituto Leloir","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted as Instituto Leloir"
"instituto-balseiro-cnea-uncuyo","Instituto Balseiro (CNEA-UNCuyo","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"instituto-balseiro-cnea-uncuyo","Instituto Balseiro (CNEA-UNCuyo","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"instituto-butantan-brasil","Instituto Butantan (Brasil","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"instituto-butantan-brasil","Instituto Butantan (Brasil","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"instituto-leloir","Instituto Leloir","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"instituto-leloir","Instituto Leloir","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"inta","INTA Castelar","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted as INTA Castelar"
"inventure","Inventure","canonical_entities.csv","canonical","canonical_base","graphml"
"inventure","Inventure","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Invitrall","Invitrall","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Invitrall","Invitrall","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"iprobyq","IPROBYQ (CONICET/UNR)","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted from graph strings"
"iquibicen","IQUIBICEN","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted from graph strings"
"itba","ITBA","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"itba","ITBA","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"itba","ITBA","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted as ITBA (Engineering)"
"itba-engineering","ITBA (Engineering","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"itba-engineering","ITBA (Engineering","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"itba-student","ITBA (Student","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"itba-student","ITBA (Student","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"jeff-wilke","Jeff Wilke","canonical_entities.csv","canonical","canonical_base","graphml"
"jeff-wilke","Jeff Wilke","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"kairetsu-angels","Kairetsu Angels","canonical_entities.csv","canonical","canonical_base","graphml"
"kairetsu-angels","Kairetsu Angels","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"kamay-ventures","Kamay Ventures","canonical_entities.csv","canonical","canonical_base","graphml"
"kamay-ventures","Kamay Ventures","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"kem-ventures","KEM Ventures","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"kem-ventures","KEM Ventures","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Kigui","Kigui","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Kigui","Kigui","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Kilimo","Kilimo","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Kilimo","Kilimo","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi|Ecosistema Startups Materiales Universidades Fondos Startups.gephi|Ecosistema Startups Materiales.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"Kilimo","Kilimo","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"kptl","KPTL","canonical_entities.csv","canonical","canonical_base","manual_external"
"kresko-rnatech","Kresko RNATech","canonical_entities.csv","canonical","canonical_base","graphml"
"kresko-rnatech","Kresko RNATech","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"kresko-rnatech","Kresko RNATech","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi|Ecosistema Startups Materiales Universidades Fondos Startups.gephi|Ecosistema Startups Materiales.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"kresko-rnatech","Kresko RNATech","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"kwb","KWB","canonical_entities.csv","canonical","canonical_base","graphml"
"kwb","KWB","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"lartirigoyen","Lartirigoyen","canonical_entities.csv","canonical","canonical_base","graphml"
"lartirigoyen","Lartirigoyen","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Laurus","Laurus","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Laurus","Laurus","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Lemon","Lemon","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Lemon","Lemon","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"levya","Levya","canonical_entities.csv","canonical","canonical_base","graphml"
"levya","Levya","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Libera","Libera","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Libera","Libera","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"limay-biosciences","Limay Biosciences","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"limay-biosciences","Limay Biosciences","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"lipock","Lipock","canonical_entities.csv","canonical","canonical_base","graphml"
"lipock","Lipock","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"logshare","LogShare","canonical_entities.csv","canonical","canonical_base","graphml"
"logshare","LogShare","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"losa-group","Losa Group","canonical_entities.csv","canonical","canonical_base","graphml"
"losa-group","Losa Group","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Luyef","Luyef","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Luyef","Luyef","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"M4Life","M4Life","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"M4Life","M4Life","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"managro","ManAgro","canonical_entities.csv","canonical","canonical_base","graphml"
"managro","ManAgro","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"mavios","Mavios","canonical_entities.csv","canonical","canonical_base","graphml"
"mavios","Mavios","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Menta","Menta","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Menta","Menta","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"mentatech","MentaTech","canonical_entities.csv","canonical","canonical_base","graphml"
"mentatech","MentaTech","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"menta-tickets","Menta Tickets","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"menta-tickets","Menta Tickets","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Mesenchyal-T","Mesenchyal-T","canonical_entities.csv","canonical","canonical_base","nodes_csv"
