theme,country,n_startups,evidence_pct,capital_pct,dominant_source,dominant_source_share,country_tier,coverage_label
Food Systems & Alt Proteins,AR,19,0.842,0.947,gridx,0.579,well_mapped,bien_mapeado
Food Systems & Alt Proteins,BM,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Food Systems & Alt Proteins,BO,0,0.0,0.0,,0.0,under_explored,no_explorado
Food Systems & Alt Proteins,BR,8,0.375,0.5,gridx,0.75,well_mapped,parcial
Food Systems & Alt Proteins,CL,19,0.211,0.526,gridx,0.684,partial,parcial
Food Systems & Alt Proteins,CO,3,0.0,0.0,gridx,1.0,under_explored,no_explorado
Food Systems & Alt Proteins,CR,2,0.0,0.0,gridx,1.0,under_explored,no_explorado
Food Systems & Alt Proteins,DO,0,0.0,0.0,,0.0,under_explored,no_explorado
Food Systems & Alt Proteins,EC,0,0.0,0.0,,0.0,under_explored,no_explorado
Food Systems & Alt Proteins,GT,0,0.0,0.0,,0.0,under_explored,no_explorado
Food Systems & Alt Proteins,MX,11,0.364,0.545,gridx,0.636,partial,parcial
Food Systems & Alt Proteins,NL,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Food Systems & Alt Proteins,PA,0,0.0,0.0,,0.0,under_explored,no_explorado
Food Systems & Alt Proteins,PE,0,0.0,0.0,,0.0,under_explored,no_explorado
Food Systems & Alt Proteins,PR,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Food Systems & Alt Proteins,PY,0,0.0,0.0,,0.0,under_explored,no_explorado
Food Systems & Alt Proteins,US,1,1.0,1.0,gridx,1.0,fuera_de_foco,fuera_de_foco
Food Systems & Alt Proteins,UY,1,0.0,0.0,gridx,1.0,under_explored,no_explorado
Food Systems & Alt Proteins,VE,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,AR,14,0.929,0.857,(sin provenance),0.714,well_mapped,parcial
Nature & Ecosystem Tech,BM,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Nature & Ecosystem Tech,BO,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,BR,10,0.8,0.9,(sin provenance),0.6,well_mapped,bien_mapeado
Nature & Ecosystem Tech,CL,5,0.6,0.8,(sin provenance),0.6,partial,parcial
Nature & Ecosystem Tech,CO,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,CR,1,1.0,1.0,(sin provenance),1.0,under_explored,no_explorado
Nature & Ecosystem Tech,DO,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,EC,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,GT,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,MX,3,0.333,1.0,web_research_2026,0.333,partial,parcial
Nature & Ecosystem Tech,NL,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Nature & Ecosystem Tech,PA,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,PE,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,PR,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Nature & Ecosystem Tech,PY,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,US,2,1.0,1.0,(sin provenance),1.0,fuera_de_foco,fuera_de_foco
Nature & Ecosystem Tech,UY,0,0.0,0.0,,0.0,under_explored,no_explorado
Nature & Ecosystem Tech,VE,0,0.0,0.0,,0.0,under_explored,no_explorado
Therapeutics,AR,25,0.8,0.84,(sin provenance),0.6,well_mapped,bien_mapeado
Therapeutics,BM,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Therapeutics,BO,0,0.0,0.0,,0.0,under_explored,no_explorado
Therapeutics,BR,27,0.148,0.37,gridx,0.667,well_mapped,parcial
Therapeutics,CL,8,0.25,0.75,gridx,0.5,partial,parcial
Therapeutics,CO,3,1.0,1.0,web_research_2026,0.333,under_explored,no_explorado
Therapeutics,CR,2,0.5,0.5,web_research_2026,0.5,under_explored,no_explorado
Therapeutics,DO,0,0.0,0.0,,0.0,under_explored,no_explorado
Therapeutics,EC,0,0.0,0.0,,0.0,under_explored,no_explorado
Therapeutics,GT,0,0.0,0.0,,0.0,under_explored,no_explorado
Therapeutics,MX,1,1.0,1.0,(sin provenance),1.0,partial,parcial
Therapeutics,NL,1,1.0,1.0,(sin provenance),1.0,fuera_de_foco,fuera_de_foco
Therapeutics,PA,0,0.0,0.0,,0.0,under_explored,no_explorado
Therapeutics,PE,1,0.0,0.0,gridx,1.0,under_explored,no_explorado
Therapeutics,PR,1,0.0,0.0,gridx,1.0,fuera_de_foco,fuera_de_foco
Therapeutics,PY,0,0.0,0.0,,0.0,under_explored,no_explorado
Therapeutics,US,5,1.0,1.0,(sin provenance),0.8,fuera_de_foco,fuera_de_foco
Therapeutics,UY,4,0.75,0.75,gridx,0.75,under_explored,no_explorado
Therapeutics,VE,0,0.0,0.0,,0.0,under_explored,no_explorado
