"entity_type","entity_id","entity_name","pipeline_state","scope_decision","review_status","quality_band","data_quality_score_10","source_type","source_url","structured_country","capital_edge_count","needs_source","needs_scope_decision","needs_country","needs_quality_upgrade","needs_capital_edge","priority_score"
"startup","samay","Samay","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","CO/US","0","False","False","False","False","True","30"
"startup","satellites_on_fire","Satellites on Fire","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://www.satellitesonfire.com/en","AR","0","False","False","False","False","True","30"
"startup","silohub","Silohub","ready_for_semantic","include","reviewed","medium","7","secondary_public_profile","https://www.descubre.vc/silohub","AR","0","False","False","False","False","True","30"
"startup","sima","Sima","ready_for_semantic","include","reviewed","medium","8","official_website","https://sima.ag/","AR","0","False","False","False","False","True","30"
"startup","sioma","Sioma","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/eiwa-2/","CO","0","False","False","False","False","True","30"
"startup","smartbreeder","SmartBreeder","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://www.kptl.com.br/portfolio/smartbreeder/","BR","0","False","False","False","False","True","30"
"startup","spaceag","SpaceAG","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/spaceag/","PE","0","False","False","False","False","True","30"
"startup","symbiomics","Symbiomics","source_backed_seeded","include","seeded","medium","8","external_profile","https://www.f6s.com/symbiomics","BR","0","False","False","False","False","True","30"
"startup","synthetic_ocular_restoration","Synthetic Ocular Restoration","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://sor.international/antecedentes/","AR/US","0","False","False","False","False","True","30"
"startup","syocin-biotech","Syocin Biotech","ready_for_semantic","include","reviewed","medium","8","official_website","https://syocin.com/","AR","0","False","False","False","False","True","30"
"startup","tbit","TBIT","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://www.kptl.com.br/portfolio/tbit/","BR","0","False","False","False","False","True","30"
"startup","tensor-care","Tensor Care","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theganeshalab.com/startup/medx/","CL","0","False","False","False","False","True","30"
"startup","the-earth-says","The Earth Says","source_backed_seeded","include","seeded","","","external_company_profile","https://www.f6s.com/company/theearthsays","CL","0","False","False","False","False","True","30"
"startup","trebe_biotech","Trebe Biotech","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://sf500.com.ar/","AR","0","False","False","False","False","True","30"
"startup","tuplaza","TuPlaza","source_backed_seeded","include","seeded","medium","7.5","external_profile","https://www.f6s.com/company/tuplaza","CO","0","False","False","False","False","True","30"
"startup","ubique_bio","Ubique Bio","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://www.gridexponential.com/portfolio","AR","0","False","False","False","False","True","30"
"startup","verqor","Verqor","source_backed_seeded","include","seeded","","","official_portfolio_listing","https://theyieldlablatam.com/portfolio/","MX","0","False","False","False","False","True","30"
