"fund_id","fund_name","startup_id","startup_name","startup_source_url","startup_source_type","observation_class","edge_source_file","edge_confidence","in_master","master_scope_decision","master_scope_status","macro_theme","structured_country","data_quality_score_10"
"GridX","GridX","plamic","Plamic","https://www.argentina.gob.ar/ciencia/seppCTI/desarrollo-tecnologico-e-innovacion/diseno-fabricacion-y-caracterizacion-de-chips-o","government_public_profile","historical_graph","latam_coinvest_network_v3.graphml","0.9","True","include","confirmed","therapeutics and regenerative medicine","AR","8.5"
"GridX","GridX","polymera","POLYMERA","https://www.linkedin.com/company/polymera","public_company_profile","historical_graph","edgeseco.csv","0.95","True","include","confirmed","biobased chemistry and advanced materials","UY","8.5"
"GridX","GridX","pregen","PreGen","https://www.linkedin.com/posts/grid-exponential_gridx-activity-7381742354665381888-Gp0R","official_public_profile","official_public_profile","latam_coinvest_network_v3.graphml","0.9","True","include","confirmed","diagnostics and medtech","AR","8.5"
"GridX","GridX","protiva","Protiva","https://www.protiva.bio/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","biobased chemistry and advanced materials","CL","8"
"GridX","GridX","puna_bio","Puna Bio","https://www.puna.bio/en","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","ag biologicals and crop resilience","AR","9"
"GridX","GridX","qnity","Qnity","https://www.qnity.bio/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","computational biology and scientific software","AR","8"
"GridX","GridX","qumir_nano","Qumir Nano","https://www.qumirnano.com/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","ag biologicals and crop resilience","AR","9"
"GridX","GridX","radial","Radial","https://www.gridexponential.com/portfolio","official_portfolio_profile","official_portfolio","https://www.gridexponential.com/portfolio","0.96","True","include","confirmed","biobased chemistry and advanced materials","AR","8"
"GridX","GridX","resistia","Resistia","https://www.linkedin.com/company/resistia","public_company_profile","historical_graph","latam_coinvest_network_v3.graphml","0.9","True","include","confirmed","therapeutics and regenerative medicine","AR","8.5"
"GridX","GridX","scitherm_therapeutics","Scitherm Therapeutics","https://scitherm.bio/","official_website","official_public_profile","latam_coinvest_network_v3.graphml","0.9","True","include","confirmed","therapeutics and regenerative medicine","MX/US","8.5"
"GridX","GridX","semion","Semion","https://semionbio.com/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","ag biologicals and crop resilience","AR","8.5"
"GridX","GridX","spherebio","SphereBio","https://www.spherebio.co/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","therapeutics and regenerative medicine","AR","8.5"
"GridX","GridX","stamm","Stämm","https://www.stamm.bio/","official_website","official_public_profile","latam_coinvest_network_v3.graphml","0.9","True","include","confirmed","biomanufacturing and bioindustrial platforms","AR","9"
"GridX","GridX","sylvarum","Sylvarum","https://www.sylvarum.co/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","ag biologicals and crop resilience","AR","8.5"
"GridX","GridX","synthetic_ocular_restoration","Synthetic Ocular Restoration","https://sor.international/antecedentes/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","therapeutics and regenerative medicine","AR/US","8.5"
"GridX","GridX","syocin-biotech","Syocin Biotech","https://syocin.com/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","ag biologicals and crop resilience","AR","8"
"GridX","GridX","tesabio_ai","Tesabio.ai","https://www.tesabio.ai/","official_website","official_public_profile","latam_coinvest_network_v3.graphml","0.9","True","include","confirmed","therapeutics and regenerative medicine","AR","8"
"GridX","GridX","tomorrow_foods","Tomorrow Foods","https://www.tomorrowfoods.com.ar/nosotros","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","food biotech and novel ingredients","AR","8.5"
"GridX","GridX","ubique_bio","Ubique Bio","https://www.gridexponential.com/portfolio","official_portfolio_profile","official_portfolio","https://www.gridexponential.com/portfolio","0.96","True","include","confirmed","diagnostics and medtech","AR","8.5"
"GridX","GridX","updairy","Updairy","https://updairy.co/","official_website","official_public_profile","edgeseco.csv","0.95","True","include","confirmed","food biotech and novel ingredients","SG/AR","8.5"
"GridX","GridX","vexxel_biotech","Vexxel Biotech","https://www.gridexponential.com/portfolio","official_portfolio_profile","official_portfolio","https://www.gridexponential.com/portfolio","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","8.5"
"GridX","GridX","werk-nvac","WerkénVac","https://www.gridexponential.com/portfolio","official_portfolio_profile","official_portfolio","https://www.gridexponential.com/portfolio","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","8"
"GridX","GridX","zavia_bio","Zavia Bio","https://www.f6s.com/company/zavia-bio","external_profile","historical_graph","edgeseco.csv","0.95","True","include","confirmed","ag biologicals and crop resilience","AR","9"
"GridX","GridX","zev_biotech","ZEV Biotech","https://www.gridexponential.com/portfolio","official_portfolio_profile","official_portfolio","https://www.gridexponential.com/portfolio","0.96","True","include","confirmed","diagnostics and medtech","AR","9"
"inventure","Inventure","calice","Calice","https://calice.ai/eng/","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","precision agriculture and resource intelligence","AR","8"
"inventure","Inventure","deepagro","DeepAgro","https://www.deepagro.com/","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","precision agriculture and resource intelligence","AR","9"
"inventure","Inventure","eiwa","Eiwa","https://eiwa.ag/en/about-us/","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","precision agriculture and resource intelligence","AR","8.5"
"inventure","Inventure","elytron_biotech","Elytron Biotech","https://www.elytronbiotech.com/?lang=en","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","biomanufacturing and bioindustrial platforms","AR","8.5"
"inventure","Inventure","kigui","Kigüi","https://kigui.io/en/","official_website","official_public_profile","latam_coinvest_network_v3.graphml","0.9","True","include","confirmed","climate, energy and resource systems","MX/AR","9"
"inventure","Inventure","nat4bio","Nat4Bio","https://www.nat4bio.com/","official_website","official_public_profile","latam_coinvest_network_v3.graphml","0.9","True","include","confirmed","food biotech and novel ingredients","AR","9"
"inventure","Inventure","satellites_on_fire","Satellites on Fire","https://www.satellitesonfire.com/en","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","climate, energy and resource systems","AR","8.5"
"inventure","Inventure","sensify","Sensify","https://www.sensify.com.ar/","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","climate, energy and resource systems","AR","8.5"
"inventure","Inventure","siloreal","SiloReal","https://www.siloreal.com/en/","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","precision agriculture and resource intelligence","AR","8"
"inventure","Inventure","tracestory","Tracestory","https://www.tracestory.com/en/home","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","climate, energy and resource systems","AR/US","8.5"
"inventure","Inventure","unibaio","Unibaio","https://sosv.com/company/unibaio/","official_company_profile","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","ag biologicals and crop resilience","AR","9"
"inventure","Inventure","zoomagri","ZoomAgri","https://zoomagri.com/en/home/","official_website","official_public_profile","https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-del-agro-junto-us28-millones-e-invirtio-en-10-empresas-nid20122024/","0.98","True","include","confirmed","precision agriculture and resource intelligence","AR/ES","9"
"kamay_ventures","Kamay Ventures","aerialoop","Aerialoop","https://www.aerialoop.com/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","frontier hardware and infrastructure systems","EC/US","8.5"
"kamay_ventures","Kamay Ventures","altscore","Altscore","https://www.altscore.ai/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","peripheral or non-core digital ventures","","8.5"
"kamay_ventures","Kamay Ventures","arqlite","Arqlite","https://curbwaste.com/company-profiles-network/arqlite","secondary_public_profile","public_profile","https://kamayventures.com/","0.86","True","include","confirmed","climate, energy and resource systems","AR/US","8"
"kamay_ventures","Kamay Ventures","auravant","Auravant","https://www.auravant.com/en/about-us/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","include","confirmed","precision agriculture and resource intelligence","AR","9"
"kamay_ventures","Kamay Ventures","bacu","BACU","https://www.bacu.co/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","peripheral or non-core digital ventures","","8"
"kamay_ventures","Kamay Ventures","ini","INI","https://www.forbesargentina.com/innovacion/como-ini-unica-fintech-region-procesa-pagos-internet-n36586","external_news_profile","public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","peripheral or non-core digital ventures","AR","9"
"kamay_ventures","Kamay Ventures","kilimo","Kilimo","https://kilimo.com/","official_website","official_public_profile","https://tekiosmag.com/2022/12/07/kamay-ventures-invierte-en-la-agtech-argentina-kilimo-experta-en-optimizar-la-utilizacion-del-agua/","0.98","True","include","confirmed","climate, energy and resource systems","AR","9"
"kamay_ventures","Kamay Ventures","logshare","LogShare","https://www.logshare.com.br/embarcadores?lang=en","official_website","official_public_profile","https://kamayventures.com/","0.86","True","include","confirmed","climate, energy and resource systems","BR","8.5"
"kamay_ventures","Kamay Ventures","muta","MUTA","https://www.f6s.com/company/muta-world","external_profile","public_profile","https://kamayventures.com/","0.86","True","include","confirmed","climate, energy and resource systems","CO","8"
"kamay_ventures","Kamay Ventures","nude","Nude","https://heynude.com.br/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","include","confirmed","food biotech and novel ingredients","BR","8"
"kamay_ventures","Kamay Ventures","retrypay","Retrypay","https://www.f6s.com/retrypay","external_profile","public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","peripheral or non-core digital ventures","","8"
"kamay_ventures","Kamay Ventures","ruedata","Ruedata","https://ruedata.com/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","peripheral or non-core digital ventures","CO/AR","9"
"kamay_ventures","Kamay Ventures","sensei","Sensei","https://www.sensei.tech/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","peripheral or non-core digital ventures","","8"
"kamay_ventures","Kamay Ventures","sensify","Sensify","https://www.sensify.com.ar/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","include","confirmed","climate, energy and resource systems","AR","8.5"
"kamay_ventures","Kamay Ventures","solfium","Solfium","https://solfium.com/en/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","include","confirmed","climate, energy and resource systems","MX/AR","8"
"kamay_ventures","Kamay Ventures","webee","Webee","https://www.webee.io/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","peripheral or non-core digital ventures","US/AR","9.5"
"kamay_ventures","Kamay Ventures","wiagro","Wiagro","https://www.wiagro.com/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","include","confirmed","precision agriculture and resource intelligence","AR","8.5"
"kamay_ventures","Kamay Ventures","wisy","Wisy","https://wisy.ai/home/","official_website","official_public_profile","https://kamayventures.com/","0.86","True","exclude","confirmed","peripheral or non-core digital ventures","US/AR","8.5"
"kamay_ventures","Kamay Ventures","zipnova","Zipnova","","taxonomy_stub","public_profile","https://kamayventures.com/","0.86","True","exclude","provisional","peripheral or non-core digital ventures","AR","7"
"kptl","KPTL","ages","AGES","https://www.kptl.com.br/portfolio/ages/","official_portfolio_profile","official_portfolio","https://www.kptl.com.br/portfolio/ages/","0.96","True","include","confirmed","biobased chemistry and advanced materials","BR","8"
"kptl","KPTL","agrotools","AGROTOOLS","https://agrotools.com.br/en/","official_website","official_public_profile","https://www.kptl.com.br/portfolio/agrotools/","0.96","True","include","confirmed","precision agriculture and resource intelligence","BR","8"
"kptl","KPTL","omics","OMICS","https://kptl.com.br/portfolio/omics/?lang=en","official_portfolio_profile","official_portfolio","https://kptl.com.br/portfolio/omics/?lang=en","0.96","True","include","confirmed","therapeutics and regenerative medicine","BR","8"
"kptl","KPTL","smartbreeder","SmartBreeder","https://www.kptl.com.br/portfolio/smartbreeder/","official_portfolio_profile","official_portfolio","https://www.kptl.com.br/portfolio/smartbreeder/","0.96","True","include","confirmed","precision agriculture and resource intelligence","BR","8"
"kptl","KPTL","tbit","TBIT","https://www.kptl.com.br/portfolio/tbit/","official_portfolio_profile","official_portfolio","https://www.kptl.com.br/portfolio/tbit/","0.96","True","include","confirmed","precision agriculture and resource intelligence","BR","8"
"newtopia_vc","Newtopia VC","nilus","Nilus","https://newtopia.vc/portfolio/","official_portfolio_profile","official_portfolio","https://newtopia.vc/portfolio/","0.94","True","include","confirmed","climate, energy and resource systems","AR/LatAm","8"
"newtopia_vc","Newtopia VC","waterplan","Waterplan","https://www.waterplan.com/","official_website","official_public_profile","https://newtopia.vc/portfolio/","0.96","True","include","confirmed","climate, energy and resource systems","AR/US","8"
"pampa_start","Pampa Start","agrired","Agrired","https://www.agrired.com.ar/","official_website","official_public_profile","https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc","0.86","True","include","confirmed","precision agriculture and resource intelligence","AR","8.5"
"pampa_start","Pampa Start","circular","Circular","https://circular.com","official_website","official_public_profile","https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc","0.82","True","exclude","confirmed","peripheral or non-core digital ventures","AR","9"
"pampa_start","Pampa Start","deepagro","DeepAgro","https://www.deepagro.com/","official_website","official_public_profile","https://www.descubre.vc/pampa-star","0.82","True","include","confirmed","precision agriculture and resource intelligence","AR","9"
"pampa_start","Pampa Start","eiwa","Eiwa","https://eiwa.ag/en/about-us/","official_website","official_public_profile","https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc","0.86","True","include","confirmed","precision agriculture and resource intelligence","AR","8.5"
"pampa_start","Pampa Start","sima","Sima","https://sima.ag/","official_website","official_public_profile","https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc","0.86","True","include","confirmed","precision agriculture and resource intelligence","AR","8.5"
"savia_ventures","Savia Ventures","done_properly","Done Properly","https://www.doneproperly.co/en/home-en/","official_website","official_public_profile","https://saviaventures.com/","0.96","True","include","confirmed","food biotech and novel ingredients","CL","8.5"
