investment_id,investor_id,startup_id,confidence_score,source
GEPHI_feedvax_conservation_international,conservation_international,feedvax,0.85,full_gephi_graph (network)
GEPHI_feedvax_GridX,GridX,feedvax,0.85,full_gephi_graph (network)
GEPHI_feedvax_AIR Capital,AIR Capital,feedvax,0.85,full_gephi_graph (network)
GEPHI_food4you_GridX,GridX,food4you,0.85,full_gephi_graph (network)
GEPHI_fungi_life_GridX,GridX,fungi_life,0.85,full_gephi_graph (network)
GEPHI_future_biome_GridX,GridX,future_biome,0.85,full_gephi_graph (network)
GEPHI_gameet_SF500,SF500,gameet,0.85,full_gephi_graph (network)
GEPHI_gbm_DraperCygnus,DraperCygnus,gbm,0.85,full_gephi_graph (network)
GEPHI_geoprot_GridX,GridX,geoprot,0.85,full_gephi_graph (network)
GEPHI_gigablue_AIR Capital,AIR Capital,gigablue,0.85,full_gephi_graph (network)
GEPHI_gisens_biotech_GridX,GridX,gisens_biotech,0.85,full_gephi_graph (network)
GEPHI_glycox_GridX,GridX,glycox,0.85,full_gephi_graph (network)
GEPHI_heartbest_the_yield_lab_latam,the_yield_lab_latam,heartbest,0.85,full_gephi_graph (network)
GEPHI_huiro_Antom,Antom,huiro,0.85,full_gephi_graph (network)
GEPHI_imvalv_CITES,CITES,imvalv,0.85,full_gephi_graph (network)
GEPHI_inbioar_aceleradora_litoral,aceleradora_litoral,inbioar,0.85,full_gephi_graph (network)
GEPHI_infira_aceleradora_litoral,aceleradora_litoral,infira,0.85,full_gephi_graph (network)
GEPHI_ini_kamay_ventures,kamay_ventures,ini,0.85,full_gephi_graph (network)
GEPHI_inmet_SF500,SF500,inmet,0.85,full_gephi_graph (network)
GEPHI_inner_cosmos_AIR Capital,AIR Capital,inner_cosmos,0.85,full_gephi_graph (network)
GEPHI_invitrall_GridX,GridX,invitrall,0.85,full_gephi_graph (network)
GEPHI_kigui_inventure,inventure,kigui,0.85,full_gephi_graph (network)
GEPHI_kigui_Antom,Antom,kigui,0.85,full_gephi_graph (network)
GEPHI_kigui_newtopia_vc,newtopia_vc,kigui,0.85,full_gephi_graph (network)
GEPHI_kilimo_Antom,Antom,kilimo,0.85,full_gephi_graph (network)
GEPHI_kilimo_glocal,glocal,kilimo,0.85,full_gephi_graph (network)
GEPHI_kilimo_kamay_ventures,kamay_ventures,kilimo,0.85,full_gephi_graph (network)
GEPHI_kilimo_salkantay_ventures,salkantay_ventures,kilimo,0.85,full_gephi_graph (network)
GEPHI_kilimo_varana_capital,varana_capital,kilimo,0.85,full_gephi_graph (network)
GEPHI_kresko_rnatech_GridX,GridX,kresko_rnatech,0.85,full_gephi_graph (network)
GEPHI_laurus_AIR Capital,AIR Capital,laurus,0.85,full_gephi_graph (network)
GEPHI_lemon_DraperCygnus,DraperCygnus,lemon,0.85,full_gephi_graph (network)
GEPHI_lemon_AIR Capital,AIR Capital,lemon,0.85,full_gephi_graph (network)
GEPHI_levya_GridX,GridX,levya,0.85,full_gephi_graph (network)
GEPHI_limay_biosciences_SF500,SF500,limay_biosciences,0.85,full_gephi_graph (network)
GEPHI_limay_biosciences_CITES,CITES,limay_biosciences,0.85,full_gephi_graph (network)
GEPHI_lipock_GridX,GridX,lipock,0.85,full_gephi_graph (network)
GEPHI_logshare_kamay_ventures,kamay_ventures,logshare,0.85,full_gephi_graph (network)
GEPHI_m4life_SF500,SF500,m4life,0.85,full_gephi_graph (network)
GEPHI_mavios_GridX,GridX,mavios,0.85,full_gephi_graph (network)
GEPHI_menta_tickets_AIR Capital,AIR Capital,menta_tickets,0.85,full_gephi_graph (network)
GEPHI_mentatech_DraperCygnus,DraperCygnus,mentatech,0.85,full_gephi_graph (network)
GEPHI_mesenchyal_t_SF500,SF500,mesenchyal_t,0.85,full_gephi_graph (network)
GEPHI_michroma_kairetsu_angels,kairetsu_angels,michroma,0.85,full_gephi_graph (network)
GEPHI_michroma_sosv,sosv,michroma,0.85,full_gephi_graph (network)
GEPHI_microgenesis_sosv,sosv,microgenesis,0.85,full_gephi_graph (network)
GEPHI_microin_GridX,GridX,microin,0.85,full_gephi_graph (network)
GEPHI_microterra_DraperCygnus,DraperCygnus,microterra,0.85,full_gephi_graph (network)
GEPHI_migma_GridX,GridX,migma,0.85,full_gephi_graph (network)
GEPHI_multiplai_health_SF500,SF500,multiplai_health,0.85,full_gephi_graph (network)
GEPHI_mural_sp_ventures,sp_ventures,mural,0.85,full_gephi_graph (network)
GEPHI_muta_kamay_ventures,kamay_ventures,muta,0.85,full_gephi_graph (network)
GEPHI_mycorium_biotech_SF500,SF500,mycorium_biotech,0.85,full_gephi_graph (network)
GEPHI_mzp_GridX,GridX,mzp,0.85,full_gephi_graph (network)
GEPHI_nairotech_aceleradora_litoral,aceleradora_litoral,nairotech,0.85,full_gephi_graph (network)
GEPHI_nanogrow_biotech_GridX,GridX,nanogrow_biotech,0.85,full_gephi_graph (network)
GEPHI_nanoingreen_GridX,GridX,nanoingreen,0.85,full_gephi_graph (network)
GEPHI_nanojump_bio_GridX,GridX,nanojump_bio,0.85,full_gephi_graph (network)
GEPHI_nanoprox_GridX,GridX,nanoprox,0.85,full_gephi_graph (network)
GEPHI_nanotransfer_GridX,GridX,nanotransfer,0.85,full_gephi_graph (network)
GEPHI_nat4bio_GridX,GridX,nat4bio,0.85,full_gephi_graph (network)
GEPHI_nat4bio_inventure,inventure,nat4bio,0.85,full_gephi_graph (network)
GEPHI_naturannova_GridX,GridX,naturannova,0.85,full_gephi_graph (network)
GEPHI_neocell_GridX,GridX,neocell,0.85,full_gephi_graph (network)
GEPHI_new_organs_biotech_GridX,GridX,new_organs_biotech,0.85,full_gephi_graph (network)
GEPHI_nideport_Antom,Antom,nideport,0.85,full_gephi_graph (network)
GEPHI_notfossil_SF500,SF500,notfossil,0.85,full_gephi_graph (network)
GEPHI_novo_space_DraperCygnus,DraperCygnus,novo_space,0.85,full_gephi_graph (network)
GEPHI_novo_space_AIR Capital,AIR Capital,novo_space,0.85,full_gephi_graph (network)
GEPHI_nude_kamay_ventures,kamay_ventures,nude,0.85,full_gephi_graph (network)
GEPHI_nunatak_biotech_GridX,GridX,nunatak_biotech,0.85,full_gephi_graph (network)
GEPHI_nuvemshop_kaszek,kaszek,nuvemshop,0.85,full_gephi_graph (network)
GEPHI_ocular_bio_design_GridX,GridX,ocular_bio_design,0.85,full_gephi_graph (network)
GEPHI_onco_precision_AIR Capital,AIR Capital,onco_precision,0.85,full_gephi_graph (network)
GEPHI_oncoliq_SF500,SF500,oncoliq,0.85,full_gephi_graph (network)
GEPHI_oncoliq_AIR Capital,AIR Capital,oncoliq,0.85,full_gephi_graph (network)
GEPHI_onco_precision_GridX,GridX,onco_precision,0.85,full_gephi_graph (network)
GEPHI_onco_precision_genesis_consortium,genesis_consortium,onco_precision,0.85,full_gephi_graph (network)
GEPHI_onco_precision_fundacion_para_el_progreso_de_la_medicina,fundacion_para_el_progreso_de_la_medicina,onco_precision,0.85,full_gephi_graph (network)
GEPHI_onco_precision_creative_ventures,creative_ventures,onco_precision,0.85,full_gephi_graph (network)
GEPHI_oneinfinite_DraperCygnus,DraperCygnus,oneinfinite,0.85,full_gephi_graph (network)
GEPHI_outpost_AIR Capital,AIR Capital,outpost,0.85,full_gephi_graph (network)
GEPHI_pepton_CITES,CITES,pepton,0.85,full_gephi_graph (network)
GEPHI_pill_ar_SF500,SF500,pill_ar,0.85,full_gephi_graph (network)
GEPHI_plamic_GridX,GridX,plamic,0.85,full_gephi_graph (network)
GEPHI_poas_bioenergy_Antom,Antom,poas_bioenergy,0.85,full_gephi_graph (network)
GEPHI_polymera_GridX,GridX,polymera,0.85,full_gephi_graph (network)
GEPHI_pregen_GridX,GridX,pregen,0.85,full_gephi_graph (network)
GEPHI_protiva_GridX,GridX,protiva,0.85,full_gephi_graph (network)
GEPHI_puna_bio_AIR Capital,AIR Capital,puna_bio,0.85,full_gephi_graph (network)
GEPHI_puna_bio_corteva_catalyst,corteva_catalyst,puna_bio,0.85,full_gephi_graph (network)
GEPHI_puna_bio_dalus_capital,dalus_capital,puna_bio,0.85,full_gephi_graph (network)
GEPHI_puna_bio_ace_ventures,ace_ventures,puna_bio,0.85,full_gephi_graph (network)
GEPHI_puna_bio_sp_ventures,sp_ventures,puna_bio,0.85,full_gephi_graph (network)
GEPHI_puna_bio_GridX,GridX,puna_bio,0.85,full_gephi_graph (network)
GEPHI_qnity_GridX,GridX,qnity,0.85,full_gephi_graph (network)
GEPHI_qumir_nano_GridX,GridX,qumir_nano,0.85,full_gephi_graph (network)
GEPHI_radial_GridX,GridX,radial,0.85,full_gephi_graph (network)
GEPHI_resistia_GridX,GridX,resistia,0.85,full_gephi_graph (network)
GEPHI_retrypay_kamay_ventures,kamay_ventures,retrypay,0.85,full_gephi_graph (network)
GEPHI_ruedata_kamay_ventures,kamay_ventures,ruedata,0.85,full_gephi_graph (network)
GEPHI_ruuts_Antom,Antom,ruuts,0.85,full_gephi_graph (network)
GEPHI_ruuts_glocal,glocal,ruuts,0.85,full_gephi_graph (network)
GEPHI_satellites_on_fire_inventure,inventure,satellites_on_fire,0.85,full_gephi_graph (network)
GEPHI_satellites_on_fire_Antom,Antom,satellites_on_fire,0.85,full_gephi_graph (network)
GEPHI_satellites_on_fire_DraperCygnus,DraperCygnus,satellites_on_fire,0.85,full_gephi_graph (network)
GEPHI_satellites_on_fire_AIR Capital,AIR Capital,satellites_on_fire,0.85,full_gephi_graph (network)
GEPHI_satellogic_DraperCygnus,DraperCygnus,satellogic,0.85,full_gephi_graph (network)
GEPHI_satellogic_valor_capital_group,valor_capital_group,satellogic,0.85,full_gephi_graph (network)
GEPHI_satellogic_sp_ventures,sp_ventures,satellogic,0.85,full_gephi_graph (network)
GEPHI_scitherm_therapeutics_GridX,GridX,scitherm_therapeutics,0.85,full_gephi_graph (network)
GEPHI_seedmatriz_aceleradora_litoral,aceleradora_litoral,seedmatriz,0.85,full_gephi_graph (network)
GEPHI_semion_GridX,GridX,semion,0.85,full_gephi_graph (network)
GEPHI_sensei_kamay_ventures,kamay_ventures,sensei,0.85,full_gephi_graph (network)
GEPHI_sensify_inventure,inventure,sensify,0.85,full_gephi_graph (network)
GEPHI_sensify_kamay_ventures,kamay_ventures,sensify,0.85,full_gephi_graph (network)
GEPHI_siloreal_inventure,inventure,siloreal,0.85,full_gephi_graph (network)
GEPHI_siloreal_DraperCygnus,DraperCygnus,siloreal,0.85,full_gephi_graph (network)
GEPHI_sima_varana_capital,varana_capital,sima,0.85,full_gephi_graph (network)
GEPHI_single_strand_biotech_CITES,CITES,single_strand_biotech,0.85,full_gephi_graph (network)
GEPHI_skyloom_DraperCygnus,DraperCygnus,skyloom,0.85,full_gephi_graph (network)
GEPHI_skyloom_AIR Capital,AIR Capital,skyloom,0.85,full_gephi_graph (network)
GEPHI_solfium_kamay_ventures,kamay_ventures,solfium,0.85,full_gephi_graph (network)
GEPHI_soygreen_SF500,SF500,soygreen,0.85,full_gephi_graph (network)
GEPHI_spectrum_SF500,SF500,spectrum,0.85,full_gephi_graph (network)
GEPHI_spherebio_GridX,GridX,spherebio,0.85,full_gephi_graph (network)
GEPHI_splight_DraperCygnus,DraperCygnus,splight,0.85,full_gephi_graph (network)
GEPHI_splight_newtopia_vc,newtopia_vc,splight,0.85,full_gephi_graph (network)
GEPHI_stamm_draper_associates,draper_associates,stamm,0.85,full_gephi_graph (network)
GEPHI_stamm_sosv,sosv,stamm,0.85,full_gephi_graph (network)
GEPHI_stamm_DraperCygnus,DraperCygnus,stamm,0.85,full_gephi_graph (network)
GEPHI_stamm_varana_capital,varana_capital,stamm,0.85,full_gephi_graph (network)
GEPHI_stamm_DragonesVP,DragonesVP,stamm,0.85,full_gephi_graph (network)
GEPHI_stamm_vx_fund,vx_fund,stamm,0.85,full_gephi_graph (network)
GEPHI_stamm_AIR Capital,AIR Capital,stamm,0.85,full_gephi_graph (network)
GEPHI_starlight_ventures_AIR Capital,AIR Capital,starlight_ventures,0.85,full_gephi_graph (network)
GEPHI_sylvarum_GridX,GridX,sylvarum,0.85,full_gephi_graph (network)
GEPHI_sylvarum_AIR Capital,AIR Capital,sylvarum,0.85,full_gephi_graph (network)
GEPHI_synthetic_ocular_restoration_GridX,GridX,synthetic_ocular_restoration,0.85,full_gephi_graph (network)
GEPHI_tech_the_yield_lab_latam,the_yield_lab_latam,tech,0.85,full_gephi_graph (network)
GEPHI_tell_SF500,SF500,tell,0.85,full_gephi_graph (network)
GEPHI_teramot_CITES,CITES,teramot,0.85,full_gephi_graph (network)
GEPHI_tesabio_ai_GridX,GridX,tesabio_ai,0.85,full_gephi_graph (network)
GEPHI_tintte_SF500,SF500,tintte,0.85,full_gephi_graph (network)
GEPHI_tissue_dynamics_AIR Capital,AIR Capital,tissue_dynamics,0.85,full_gephi_graph (network)
GEPHI_tomorrow_foods_GridX,GridX,tomorrow_foods,0.85,full_gephi_graph (network)
GEPHI_tracestory_inventure,inventure,tracestory,0.85,full_gephi_graph (network)
GEPHI_travelx_DraperCygnus,DraperCygnus,travelx,0.85,full_gephi_graph (network)
GEPHI_ubique_bio_GridX,GridX,ubique_bio,0.85,full_gephi_graph (network)
GEPHI_unibaio_inventure,inventure,unibaio,0.85,full_gephi_graph (network)
GEPHI_unibaio_SF500,SF500,unibaio,0.85,full_gephi_graph (network)
GEPHI_untech_aceleradora_litoral,aceleradora_litoral,untech,0.85,full_gephi_graph (network)
GEPHI_updairy_GridX,GridX,updairy,0.85,full_gephi_graph (network)
GEPHI_vexxel_biotech_GridX,GridX,vexxel_biotech,0.85,full_gephi_graph (network)
GEPHI_vmind_DraperCygnus,DraperCygnus,vmind,0.85,full_gephi_graph (network)
GEPHI_webee_kamay_ventures,kamay_ventures,webee,0.85,full_gephi_graph (network)
GEPHI_werk-nvac_GridX,GridX,werk-nvac,0.85,full_gephi_graph (network)
GEPHI_wiagro_kamay_ventures,kamay_ventures,wiagro,0.85,full_gephi_graph (network)
GEPHI_wisy_kamay_ventures,kamay_ventures,wisy,0.85,full_gephi_graph (network)
GEPHI_zavia_bio_kamay_ventures,kamay_ventures,zavia_bio,0.85,full_gephi_graph (network)
GEPHI_zev_biotech_GridX,GridX,zev_biotech,0.85,full_gephi_graph (network)
GEPHI_zipnova_kamay_ventures,kamay_ventures,zipnova,0.85,full_gephi_graph (network)
GEPHI_zoomagri_inventure,inventure,zoomagri,0.85,full_gephi_graph (network)
