startup_id,current_status,new_status,reason
greentech-cr,REVIEW,EXCLUDE,No description
guska-uy,REVIEW,EXCLUDE,No description
hepacys-n-mx,REVIEW,EXCLUDE,No description
heuristica-gt,REVIEW,EXCLUDE,No description
holadoc-ve,REVIEW,EXCLUDE,No description
i3lab-espol-ec,REVIEW,EXCLUDE,No description
iica-re,REVIEW,EXCLUDE,No description
innova-bolivia-network-bo,REVIEW,EXCLUDE,No description
instituto-de-investigaciones-biologicas-clemente-estable-uy,REVIEW,EXCLUDE,No description
jebcpharma-ve,REVIEW,EXCLUDE,No description
kamina-ec,REVIEW,EXCLUDE,No description
kingo-energy-gt,REVIEW,EXCLUDE,No description
kura-biotech-cl,REVIEW,EXCLUDE,No description
kushki-ec,REVIEW,EXCLUDE,No description
labbio-uy,REVIEW,EXCLUDE,No description
laboratorio-de-investigacion-agricola-paraguaya-py,REVIEW,EXCLUDE,No description
latamed-ai-ve,REVIEW,EXCLUDE,No description
latu-bioactiva-uy,REVIEW,EXCLUDE,No description
locbio-uy,REVIEW,EXCLUDE,No description
mercadoni-ve,REVIEW,EXCLUDE,No description
metalrecycling-mx,REVIEW,EXCLUDE,No description
mi-huella-bo,REVIEW,EXCLUDE,No description
microalgas-peru-pe,REVIEW,EXCLUDE,No description
microbiologia-aplicada-paraguay-py,REVIEW,EXCLUDE,No description
micromed-uy,REVIEW,EXCLUDE,No description
mo-bi-bo,REVIEW,EXCLUDE,No description
multiverse-gt,REVIEW,EXCLUDE,No description
mycobioproducts-co,REVIEW,EXCLUDE,No description
nabla-bio-br,REVIEW,EXCLUDE,No description
naddon-mx,REVIEW,EXCLUDE,No description
nagro-br,REVIEW,EXCLUDE,No description
nana-gt,REVIEW,EXCLUDE,No description
nanomed-mx,REVIEW,EXCLUDE,No description
nanoplast-peru-pe,REVIEW,EXCLUDE,No description
naturalsoft-peru-pe,REVIEW,EXCLUDE,No description
nemoranaturalis-co,REVIEW,EXCLUDE,No description
neurobiotech-co,REVIEW,EXCLUDE,No description
nurturefield-uy,REVIEW,EXCLUDE,No description
nutritech-andina-pe,REVIEW,EXCLUDE,No description
pasteur-lab-uy,REVIEW,EXCLUDE,No description
pastobio-co,REVIEW,EXCLUDE,No description
patagon-ai-ec,REVIEW,EXCLUDE,No description
pegasi-ve,REVIEW,EXCLUDE,No description
peptidesplus-cl,REVIEW,EXCLUDE,No description
phage-solutions-peru-pe,REVIEW,EXCLUDE,No description
phenix-biotech-uy,REVIEW,EXCLUDE,No description
phytatech-co,REVIEW,EXCLUDE,No description
plataforma-digital-agricola-paraguaya-py,REVIEW,EXCLUDE,No description
polis-bioenergy-cr,REVIEW,EXCLUDE,No description
pomona-impact-gt,REVIEW,EXCLUDE,No description
potencia-tu-agroempresa-re,REVIEW,EXCLUDE,No description
proteasbio-cl,REVIEW,EXCLUDE,No description
protecagro-paraguay-py,REVIEW,EXCLUDE,No description
proteinpure-ar,REVIEW,EXCLUDE,No description
proteinsource-co,REVIEW,EXCLUDE,No description
protinahealth-mx,REVIEW,EXCLUDE,No description
pulpaverde-co,REVIEW,EXCLUDE,No description
regenesis-biotech-pe,REVIEW,EXCLUDE,No description
revoluciona-tu-precio-ec,REVIEW,EXCLUDE,No description
