investment_id,investor_id,startup_id,confidence_score,source
VERIFIED_sp_ventures_blooms,sp_ventures,blooms,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_jetbov,sp_ventures,jetbov,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_inprenha,sp_ventures,inprenha,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_decoy-smart-control-br,sp_ventures,decoy-smart-control-br,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_bemagro,the_yield_lab_latam,bemagro,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_culttivo,the_yield_lab_latam,culttivo,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_cerradox,the_yield_lab_latam,cerradox,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_phagelab,the_yield_lab_latam,phagelab,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_kigui,the_yield_lab_latam,kigui,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_incluirtec,the_yield_lab_latam,incluirtec,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_produzindo-certo,the_yield_lab_latam,produzindo-certo,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_agricapital,the_yield_lab_latam,agricapital,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_antarka,zentynel,antarka,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_fecundis,zentynel,fecundis,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_viewmind,zentynel,viewmind,0.95,investment_rounds: official portfolio
VERIFIED_savia_ventures_strong-by-form-cl,savia_ventures,strong-by-form-cl,0.95,investment_rounds: official portfolio
VERIFIED_savia_ventures_living-ink-us,savia_ventures,living-ink-us,0.95,investment_rounds: official portfolio
VERIFIED_savia_ventures_nutrition-from-water-cl,savia_ventures,nutrition-from-water-cl,0.95,investment_rounds: official portfolio
VERIFIED_savia_ventures_mothership-materials-cl,savia_ventures,mothership-materials-cl,0.95,investment_rounds: official portfolio
VERIFIED_gridx_stamm-ar,gridx,stamm-ar,0.95,investment_rounds: official portfolio
VERIFIED_gridx_puna_bio,gridx,puna_bio,0.95,investment_rounds: official portfolio
VERIFIED_gridx_caspr_biotech,gridx,caspr_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_beeflow,gridx,beeflow,0.95,investment_rounds: official portfolio
VERIFIED_gridx_michroma,gridx,michroma,0.95,investment_rounds: official portfolio
VERIFIED_gridx_bioeutectics,gridx,bioeutectics,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nanogrow_biotech,gridx,nanogrow_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_algaebio,gridx,algaebio,0.95,investment_rounds: official portfolio
VERIFIED_gridx_algalife,gridx,algalife,0.95,investment_rounds: official portfolio
VERIFIED_gridx_antarka,gridx,antarka,0.95,investment_rounds: official portfolio
VERIFIED_gridx_apasomics,gridx,apasomics,0.95,investment_rounds: official portfolio
VERIFIED_gridx_apexzymes,gridx,apexzymes,0.95,investment_rounds: official portfolio
VERIFIED_gridx_aquit,gridx,aquit,0.95,investment_rounds: official portfolio
VERIFIED_gridx_arakion,gridx,arakion,0.95,investment_rounds: official portfolio
VERIFIED_gridx_argentag,gridx,argentag,0.95,investment_rounds: official portfolio
VERIFIED_gridx_bioblends,gridx,bioblends,0.95,investment_rounds: official portfolio
VERIFIED_gridx_bioplaster_research_inc,gridx,bioplaster_research_inc,0.95,investment_rounds: official portfolio
VERIFIED_gridx_bioplastix,gridx,bioplastix,0.95,investment_rounds: official portfolio
VERIFIED_gridx_bitgenia,gridx,bitgenia,0.95,investment_rounds: official portfolio
VERIFIED_gridx_break_pet,gridx,break_pet,0.95,investment_rounds: official portfolio
VERIFIED_gridx_bsafe_biotech,gridx,bsafe_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_bybug,gridx,bybug,0.95,investment_rounds: official portfolio
VERIFIED_gridx_calfix,gridx,calfix,0.95,investment_rounds: official portfolio
VERIFIED_gridx_caligenia,gridx,caligenia,0.95,investment_rounds: official portfolio
VERIFIED_gridx_cellco,gridx,cellco,0.95,investment_rounds: official portfolio
VERIFIED_gridx_cellrep,gridx,cellrep,0.95,investment_rounds: official portfolio
VERIFIED_gridx_cryosmetics,gridx,cryosmetics,0.95,investment_rounds: official portfolio
VERIFIED_gridx_cyanomin,gridx,cyanomin,0.95,investment_rounds: official portfolio
VERIFIED_gridx_dogma_biotech,gridx,dogma_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_einsted,gridx,einsted,0.95,investment_rounds: official portfolio
VERIFIED_gridx_elytron_biotech,gridx,elytron_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_embryoxite,gridx,embryoxite,0.95,investment_rounds: official portfolio
VERIFIED_gridx_enteria,gridx,enteria,0.95,investment_rounds: official portfolio
VERIFIED_gridx_enzyva,gridx,enzyva,0.95,investment_rounds: official portfolio
VERIFIED_gridx_eywa_biotech,gridx,eywa_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_fecundis,gridx,fecundis,0.95,investment_rounds: official portfolio
VERIFIED_gridx_feedvax,gridx,feedvax,0.95,investment_rounds: official portfolio
VERIFIED_gridx_food4you,gridx,food4you,0.95,investment_rounds: official portfolio
VERIFIED_gridx_geoprot,gridx,geoprot,0.95,investment_rounds: official portfolio
VERIFIED_gridx_gisens_biotech,gridx,gisens_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_glycox,gridx,glycox,0.95,investment_rounds: official portfolio
VERIFIED_gridx_invitrall,gridx,invitrall,0.95,investment_rounds: official portfolio
VERIFIED_gridx_kresko_rnatech,gridx,kresko_rnatech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_levya,gridx,levya,0.95,investment_rounds: official portfolio
VERIFIED_gridx_lipock,gridx,lipock,0.95,investment_rounds: official portfolio
VERIFIED_gridx_mavios,gridx,mavios,0.95,investment_rounds: official portfolio
VERIFIED_gridx_microgenesis,gridx,microgenesis,0.95,investment_rounds: official portfolio
VERIFIED_gridx_microin,gridx,microin,0.95,investment_rounds: official portfolio
VERIFIED_gridx_migma,gridx,migma,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nanoingreen,gridx,nanoingreen,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nanoprox,gridx,nanoprox,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nanotransfer,gridx,nanotransfer,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nat4bio,gridx,nat4bio,0.95,investment_rounds: official portfolio
VERIFIED_gridx_naturannova,gridx,naturannova,0.95,investment_rounds: official portfolio
VERIFIED_gridx_neocell,gridx,neocell,0.95,investment_rounds: official portfolio
VERIFIED_gridx_new_organs_biotech,gridx,new_organs_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nunatak_biotech,gridx,nunatak_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_polymera,gridx,polymera,0.95,investment_rounds: official portfolio
VERIFIED_gridx_pregen,gridx,pregen,0.95,investment_rounds: official portfolio
VERIFIED_gridx_protiva,gridx,protiva,0.95,investment_rounds: official portfolio
VERIFIED_gridx_qnity,gridx,qnity,0.95,investment_rounds: official portfolio
