"Source","Target","Type","Weight","RelationType","Confidence","SourceKind","Notes"
"DraperCygnus","Auth0","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Ayuvant","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Beeflow","Directed","0.9","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"DraperCygnus","CargoProduce","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","Dynami","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Egg","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","Falcomm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","GBM","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Lemon","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Menta","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","mentatech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Microterra","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","novo-space","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Oasys","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","Oneinfinite","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","satellites-on-fire","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Satellogic","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","SiloReal","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Skyloom","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Splight","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","st-mm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","TravelX","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Vmind","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"draper-university","argenTAG","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"duhau","aplife-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"duhau","Feedvax","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"flia-duhau","st-mm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"fundacion-para-el-progreso-de-la-medicina","onco-precision","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"future-ventures","Beeflow","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"genesis-consortium","onco-precision","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","Agrojusto","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","Conciencia","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","deepagro","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","eir","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","Kilimo","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"glocal","Ruuts","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","algaebio","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","AlgaLife","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Alkemio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Alytix","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Antarka","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Apasomics","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","APEXzymes","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","aplife-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Aquit","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","arakion","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","argenTAG","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","avatar-medtech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Beeflow","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","BioBlends","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","biocl","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","biodiversity-intelligence","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Bioeutectics","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","bioplaster-research","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","bioplaster-research-inc","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Bioplastix","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Bitgenia","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","BreakPET","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","bsafe-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","ByBug","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","calfix","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Caligenia","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","caspr-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","cell-farm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","CellRep","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Cryosmetics","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","CyanoMin","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","cytbac","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","dogma-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","EINSTED","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","elytron-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Embryoxite","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Enteria","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","enzyva","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","eywa-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","F4U","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","fecundis","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Feedvax","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","food4you","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","fungi-life","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","future-biome","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Geoprot","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","gisens-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","GlycoX","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","HIAMET","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Invitrall","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","kresko-rnatech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","levya","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","limay-biosciences","Directed","0.9","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"GridX","lipock","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","mavios","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","michroma","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","microgenesis","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","MicroIN","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Migma","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","monte-caldera-technology","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","MZP","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","nanogrow-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","NanoInGreen","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","nano-jump-bio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","nanoprox","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Nanotransfer","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Nat4Bio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Naturannova","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","naturanova","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","neocell","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","new-organs-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","nunatak-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","ocular-bio-design","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","onco-precision","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","plamic","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Polymera","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","pregen","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Protiva","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","puna-bio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Qnity","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","qumir-nano","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Radial","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","resistia","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","scitherm-therapeutics","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Semion","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","SphereBio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","st-mm","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Sylvarum","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","synthetic-ocular-restoration","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","syocin-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","tesabio-ai","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","tomorrow-foods","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","ubique-bio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","UpDairy","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","vexxel-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","werk-nvac","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","zavia-bio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","zev-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"grupo-insud","tomorrow-foods","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"grupo-peruanos","zev-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"happiness","microgenesis","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"hatch","Feedvax","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","argenTAG","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","Beeflow","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","caspr-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","michroma","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","microgenesis","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","onco-precision","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","puna-bio","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","st-mm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","calice","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","deepagro","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","eiwa","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","elytron-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","Kigui","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","Nat4Bio","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","satellites-on-fire","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","sensify","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","SiloReal","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","tracestory","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","UNIBAIO","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","zoomagri","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"jeff-wilke","Beeflow","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kairetsu-angels","michroma","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","aerialoop","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","altscore","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","arqlite","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","auravant","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","bacu","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","Bioeutectics","Directed","0.7","funded_by","medium","ecosystem_seed","reference_visual|Seen in reference image cluster"
"kamay-ventures","ini","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kilimo","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","logshare","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","muta","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","nude","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","retrypay","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","ruedata","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","sensei","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","sensify","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","solfium","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","webee","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","wiagro","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","wisy","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","zipnova","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kwb","microgenesis","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"lartirigoyen","elytron-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
